dt,p_lEE_x,p_lEE_y,p_lEE_z,pdot_lEE_x,pdot_lEE_y,pdot_lEE_z
7.526,0.3,0.136588,0.806766,3.16948e-08,0.377294,0.53487
7.527,0.3,0.136966,0.8073,2.25357e-08,0.378905,0.533907
7.528,0.3,0.137346,0.807834,1.34224e-08,0.380511,0.532938
7.529,0.3,0.137727,0.808366,4.35492e-09,0.382111,0.531964
7.53,0.3,0.13811,0.808898,-4.66682e-09,0.383706,0.530984
7.531,0.3,0.138495,0.809428,-1.36428e-08,0.385296,0.53
7.532,0.3,0.138881,0.809958,-2.2573e-08,0.38688,0.529009
7.533,0.3,0.139269,0.810486,-3.14574e-08,0.388459,0.528014
7.534,0.3,0.139658,0.811014,-4.0296e-08,0.390032,0.527013
7.535,0.3,0.140049,0.81154,-4.90888e-08,0.391601,0.526007
7.536,0.3,0.140441,0.812066,-5.78359e-08,0.393164,0.524995
7.537,0.3,0.140835,0.81259,-6.65371e-08,0.394721,0.523979
7.538,0.3,0.141231,0.813114,-7.51926e-08,0.396274,0.522956
7.539,0.3,0.141628,0.813636,-8.38024e-08,0.397821,0.521929
7.54,0.3,0.142026,0.814158,-9.23663e-08,0.399362,0.520896
7.541,0.3,0.142426,0.814678,-1.00884e-07,0.400899,0.519858
7.542,0.3,0.142828,0.815197,-1.09357e-07,0.40243,0.518814
7.543,0.3,0.143231,0.815716,-1.17783e-07,0.403955,0.517766
7.544,0.3,0.143636,0.816233,-1.26164e-07,0.405476,0.516711
7.545,0.3,0.144042,0.816749,-1.34499e-07,0.406991,0.515652
7.546,0.3,0.14445,0.817264,-1.42789e-07,0.4085,0.514587
7.547,0.3,0.144859,0.817778,-1.51032e-07,0.410005,0.513517
7.548,0.3,0.14527,0.818291,-1.5923e-07,0.411504,0.512441
7.549,0.3,0.145682,0.818803,-1.67382e-07,0.412997,0.511361
7.55,0.3,0.146096,0.819314,-1.75488e-07,0.414486,0.510274
7.551,0.3,0.146511,0.819824,-1.83548e-07,0.415969,0.509183
7.552,0.3,0.146928,0.820332,-1.91563e-07,0.417446,0.508086
7.553,0.3,0.147346,0.82084,-1.99532e-07,0.418919,0.506984
7.554,0.3,0.147766,0.821346,-2.07455e-07,0.420386,0.505876
7.555,0.3,0.148187,0.821851,-2.15332e-07,0.421847,0.504764
7.556,0.3,0.148609,0.822356,-2.23163e-07,0.423304,0.503645
7.557,0.3,0.149033,0.822859,-2.30949e-07,0.424755,0.502522
7.558,0.3,0.149459,0.823361,-2.38689e-07,0.4262,0.501393
7.559,0.3,0.149886,0.823862,-2.46383e-07,0.427641,0.500259
7.56,0.3,0.150314,0.824361,-2.54031e-07,0.429076,0.499119
7.561,0.3,0.150744,0.82486,-2.61634e-07,0.430505,0.497975
7.562,0.3,0.151175,0.825357,-2.69191e-07,0.43193,0.496825
7.563,0.3,0.151608,0.825853,-2.76702e-07,0.433349,0.495669
7.564,0.3,0.152042,0.826349,-2.84167e-07,0.434762,0.494508
7.565,0.3,0.152477,0.826842,-2.91586e-07,0.436171,0.493342
7.566,0.3,0.152914,0.827335,-2.9896e-07,0.437574,0.492171
7.567,0.3,0.153352,0.827827,-3.06288e-07,0.438971,0.490994
7.568,0.3,0.153792,0.828317,-3.1357e-07,0.440364,0.489812
7.569,0.3,0.154233,0.828806,-3.20806e-07,0.441751,0.488624
7.57,0.3,0.154676,0.829294,-3.27997e-07,0.443132,0.487431
7.571,0.3,0.155119,0.829781,-3.35142e-07,0.444509,0.486233
7.572,0.3,0.155565,0.830267,-3.42241e-07,0.44588,0.48503
7.573,0.3,0.156011,0.830751,-3.49294e-07,0.447245,0.483821
7.574,0.3,0.156459,0.831235,-3.56301e-07,0.448606,0.482607
7.575,0.3,0.156908,0.831717,-3.63263e-07,0.449961,0.481387
7.576,0.3,0.157359,0.832197,-3.70179e-07,0.45131,0.480162
7.577,0.3,0.157811,0.832677,-3.77049e-07,0.452655,0.478932
7.578,0.3,0.158264,0.833155,-3.83873e-07,0.453994,0.477697
7.579,0.3,0.158719,0.833632,-3.90652e-07,0.455327,0.476456
7.58,0.3,0.159175,0.834108,-3.97384e-07,0.456656,0.47521
7.581,0.3,0.159632,0.834583,-4.04071e-07,0.457979,0.473958
7.582,0.3,0.160091,0.835056,-4.10713e-07,0.459296,0.472701
7.583,0.3,0.160551,0.835528,-4.17308e-07,0.460609,0.471439
7.584,0.3,0.161012,0.835999,-4.23858e-07,0.461916,0.470172
7.585,0.3,0.161475,0.836468,-4.30361e-07,0.463217,0.468899
7.586,0.3,0.161939,0.836937,-4.36819e-07,0.464514,0.467621
7.587,0.3,0.162404,0.837404,-4.43232e-07,0.465805,0.466337
7.588,0.3,0.16287,0.837869,-4.49598e-07,0.46709,0.465049
7.589,0.3,0.163338,0.838334,-4.55919e-07,0.468371,0.463754
7.59,0.3,0.163807,0.838797,-4.62194e-07,0.469646,0.462455
7.591,0.3,0.164277,0.839259,-4.68423e-07,0.470915,0.46115
7.592,0.3,0.164749,0.839719,-4.74606e-07,0.47218,0.45984
7.593,0.3,0.165222,0.840178,-4.80744e-07,0.473439,0.458525
7.594,0.3,0.165696,0.840636,-4.86836e-07,0.474692,0.457204
7.595,0.3,0.166171,0.841093,-4.92882e-07,0.475941,0.455878
7.596,0.3,0.166648,0.841548,-4.98882e-07,0.477184,0.454546
7.597,0.3,0.167125,0.842002,-5.04837e-07,0.478421,0.453209
7.598,0.3,0.167604,0.842454,-5.10745e-07,0.479654,0.451867
7.599,0.3,0.168085,0.842906,-5.16608e-07,0.480881,0.45052
7.6,0.3,0.168566,0.843355,-5.22425e-07,0.482103,0.449167
7.601,0.3,0.169049,0.843804,-5.28197e-07,0.483319,0.447809
7.602,0.3,0.169533,0.844251,-5.33922e-07,0.48453,0.446445
7.603,0.3,0.170018,0.844697,-5.39602e-07,0.485736,0.445076
7.604,0.3,0.170504,0.845141,-5.45236e-07,0.486936,0.443702
7.605,0.3,0.170992,0.845584,-5.50825e-07,0.488131,0.442323
7.606,0.3,0.17148,0.846026,-5.56367e-07,0.489321,0.440938
7.607,0.3,0.17197,0.846466,-5.61864e-07,0.490505,0.439548
7.608,0.3,0.172461,0.846905,-5.67315e-07,0.491684,0.438152
7.609,0.3,0.172954,0.847342,-5.7272e-07,0.492858,0.436752
7.61,0.3,0.173447,0.847778,-5.78079e-07,0.494026,0.435346
7.611,0.3,0.173942,0.848213,-5.83393e-07,0.495189,0.433934
7.612,0.3,0.174438,0.848646,-5.8866e-07,0.496347,0.432517
7.613,0.3,0.174934,0.849078,-5.93882e-07,0.497499,0.431095
7.614,0.3,0.175433,0.849508,-5.99059e-07,0.498646,0.429668
7.615,0.3,0.175932,0.849937,-6.04189e-07,0.499788,0.428235
7.616,0.3,0.176432,0.850365,-6.09274e-07,0.500924,0.426797
7.617,0.3,0.176934,0.850791,-6.14313e-07,0.502055,0.425353
7.618,0.3,0.177436,0.851216,-6.19306e-07,0.503181,0.423904
7.619,0.3,0.17794,0.851639,-6.24253e-07,0.504301,0.42245
7.62,0.3,0.178445,0.852061,-6.29155e-07,0.505416,0.420991
7.621,0.3,0.178951,0.852481,-6.3401e-07,0.506526,0.419526
7.622,0.3,0.179458,0.8529,-6.3882e-07,0.50763,0.418056
7.623,0.3,0.179966,0.853317,-6.43585e-07,0.508729,0.41658
7.624,0.3,0.180475,0.853733,-6.48303e-07,0.509823,0.4151
7.625,0.3,0.180986,0.854147,-6.52976e-07,0.510911,0.413614
7.626,0.3,0.181497,0.85456,-6.57603e-07,0.511994,0.412122
7.627,0.3,0.18201,0.854971,-6.62184e-07,0.513072,0.410625
7.628,0.3,0.182523,0.855381,-6.66719e-07,0.514145,0.409123
7.629,0.3,0.183038,0.85579,-6.71209e-07,0.515212,0.407616
7.63,0.3,0.183554,0.856196,-6.75652e-07,0.516273,0.406103
7.631,0.3,0.184071,0.856602,-6.8005e-07,0.51733,0.404585
7.632,0.3,0.184588,0.857006,-6.84402e-07,0.518381,0.403061
7.633,0.3,0.185107,0.857408,-6.88709e-07,0.519426,0.401533
7.634,0.3,0.185627,0.857809,-6.92969e-07,0.520467,0.399998
7.635,0.3,0.186148,0.858208,-6.97184e-07,0.521502,0.398459
7.636,0.3,0.18667,0.858606,-7.01353e-07,0.522531,0.396914
7.637,0.3,0.187193,0.859002,-7.05477e-07,0.523556,0.395364
7.638,0.3,0.187717,0.859396,-7.09554e-07,0.524575,0.393809
7.639,0.3,0.188242,0.859789,-7.13586e-07,0.525589,0.392248
7.64,0.3,0.188769,0.860181,-7.17572e-07,0.526597,0.390682
7.641,0.3,0.189296,0.860571,-7.21512e-07,0.5276,0.38911
7.642,0.3,0.189824,0.860959,-7.25406e-07,0.528598,0.387533
7.643,0.3,0.190353,0.861346,-7.29255e-07,0.52959,0.385951
7.644,0.3,0.190883,0.861731,-7.33058e-07,0.530577,0.384364
7.645,0.3,0.191414,0.862115,-7.36815e-07,0.531559,0.382771
7.646,0.3,0.191946,0.862496,-7.40526e-07,0.532535,0.381173
7.647,0.3,0.192479,0.862877,-7.44192e-07,0.533506,0.37957
7.648,0.3,0.193013,0.863256,-7.47811e-07,0.534472,0.377961
7.649,0.3,0.193548,0.863633,-7.51385e-07,0.535432,0.376347
7.65,0.3,0.194084,0.864008,-7.54914e-07,0.536387,0.374727
7.651,0.3,0.194621,0.864382,-7.58396e-07,0.537337,0.373102
7.652,0.3,0.195159,0.864755,-7.61833e-07,0.538281,0.371472
7.653,0.3,0.195697,0.865125,-7.65223e-07,0.53922,0.369837
7.654,0.3,0.196237,0.865494,-7.68568e-07,0.540154,0.368196
7.655,0.3,0.196778,0.865862,-7.71868e-07,0.541083,0.36655
7.656,0.3,0.197319,0.866227,-7.75121e-07,0.542006,0.364899
7.657,0.3,0.197862,0.866591,-7.78329e-07,0.542923,0.363242
7.658,0.3,0.198405,0.866954,-7.81491e-07,0.543836,0.36158
7.659,0.3,0.198949,0.867315,-7.84607e-07,0.544743,0.359912
7.66,0.3,0.199495,0.867674,-7.87677e-07,0.545644,0.358239
7.661,0.3,0.200041,0.868031,-7.90702e-07,0.546541,0.356561
7.662,0.3,0.200588,0.868387,-7.93681e-07,0.547432,0.354878
7.663,0.3,0.201135,0.868741,-7.96614e-07,0.548318,0.353189
7.664,0.3,0.201684,0.869093,-7.99501e-07,0.549198,0.351495
7.665,0.3,0.202234,0.869444,-8.02342e-07,0.550073,0.349796
7.666,0.3,0.202784,0.869793,-8.05138e-07,0.550943,0.348091
7.667,0.3,0.203336,0.87014,-8.07888e-07,0.551807,0.346381
7.668,0.3,0.203888,0.870485,-8.10592e-07,0.552666,0.344665
7.669,0.3,0.204441,0.870829,-8.1325e-07,0.55352,0.342944
7.67,0.3,0.204995,0.871171,-8.15863e-07,0.554368,0.341218
7.671,0.3,0.20555,0.871512,-8.1843e-07,0.555211,0.339487
7.672,0.3,0.206105,0.87185,-8.20951e-07,0.556049,0.33775
7.673,0.3,0.206662,0.872187,-8.23426e-07,0.556881,0.336008
7.674,0.3,0.207219,0.872522,-8.25855e-07,0.557708,0.334261
7.675,0.3,0.207777,0.872856,-8.28239e-07,0.55853,0.332508
7.676,0.3,0.208336,0.873187,-8.30577e-07,0.559347,0.33075
7.677,0.3,0.208896,0.873517,-8.32869e-07,0.560158,0.328986
7.678,0.3,0.209457,0.873845,-8.35115e-07,0.560963,0.327218
7.679,0.3,0.210018,0.874172,-8.37316e-07,0.561764,0.325443
7.68,0.3,0.21058,0.874496,-8.39471e-07,0.562559,0.323664
7.681,0.3,0.211143,0.874819,-8.4158e-07,0.563348,0.321879
7.682,0.3,0.211707,0.87514,-8.43643e-07,0.564133,0.320089
7.683,0.3,0.212271,0.875459,-8.4566e-07,0.564912,0.318294
7.684,0.3,0.212837,0.875777,-8.47632e-07,0.565686,0.316493
7.685,0.3,0.213403,0.876092,-8.49558e-07,0.566454,0.314687
7.686,0.3,0.21397,0.876406,-8.51438e-07,0.567217,0.312875
7.687,0.3,0.214537,0.876718,-8.53272e-07,0.567975,0.311059
7.688,0.3,0.215105,0.877028,-8.55061e-07,0.568727,0.309237
7.689,0.3,0.215675,0.877336,-8.56803e-07,0.569474,0.307409
7.69,0.3,0.216244,0.877643,-8.585e-07,0.570216,0.305576
7.691,0.3,0.216815,0.877947,-8.60151e-07,0.570952,0.303738
7.692,0.3,0.217386,0.87825,-8.61757e-07,0.571683,0.301895
7.693,0.3,0.217958,0.878551,-8.63316e-07,0.572409,0.300046
7.694,0.3,0.218531,0.87885,-8.6483e-07,0.57313,0.298192
7.695,0.3,0.219105,0.879148,-8.66298e-07,0.573845,0.296333
7.696,0.3,0.219679,0.879443,-8.67721e-07,0.574554,0.294468
7.697,0.3,0.220254,0.879737,-8.69097e-07,0.575259,0.292598
7.698,0.3,0.220829,0.880028,-8.70428e-07,0.575958,0.290722
7.699,0.3,0.221406,0.880318,-8.71713e-07,0.576652,0.288842
7.7,0.3,0.221983,0.880606,-8.72952e-07,0.57734,0.286955
7.701,0.3,0.22256,0.880892,-8.74145e-07,0.578023,0.285064
7.702,0.3,0.223139,0.881176,-8.75293e-07,0.578701,0.283167
7.703,0.3,0.223718,0.881458,-8.76395e-07,0.579373,0.281265
7.704,0.3,0.224297,0.881739,-8.77451e-07,0.58004,0.279358
7.705,0.3,0.224878,0.882017,-8.78461e-07,0.580702,0.277445
7.706,0.3,0.225459,0.882293,-8.79426e-07,0.581358,0.275527
7.707,0.3,0.226041,0.882568,-8.80344e-07,0.582009,0.273603
7.708,0.3,0.226623,0.882841,-8.81217e-07,0.582655,0.271675
7.709,0.3,0.227206,0.883111,-8.82044e-07,0.583296,0.269741
7.71,0.3,0.227789,0.88338,-8.82826e-07,0.583931,0.267801
7.711,0.3,0.228374,0.883647,-8.83561e-07,0.58456,0.265856
7.712,0.3,0.228959,0.883912,-8.84251e-07,0.585185,0.263906
7.713,0.3,0.229544,0.884175,-8.84895e-07,0.585804,0.261951
7.714,0.3,0.23013,0.884436,-8.85493e-07,0.586418,0.25999
7.715,0.3,0.230717,0.884695,-8.86046e-07,0.587026,0.258024
7.716,0.3,0.231304,0.884952,-8.86552e-07,0.587629,0.256053
7.717,0.3,0.231892,0.885207,-8.87013e-07,0.588227,0.254076
7.718,0.3,0.232481,0.88546,-8.87428e-07,0.588819,0.252094
7.719,0.3,0.23307,0.885711,-8.87798e-07,0.589406,0.250106
7.72,0.3,0.233659,0.88596,-8.88121e-07,0.589988,0.248114
7.721,0.3,0.23425,0.886207,-8.88399e-07,0.590564,0.246116
7.722,0.3,0.234841,0.886452,-8.88631e-07,0.591136,0.244112
7.723,0.3,0.235432,0.886696,-8.88817e-07,0.591701,0.242103
7.724,0.3,0.236024,0.886937,-8.88958e-07,0.592262,0.240089
7.725,0.3,0.236617,0.887176,-8.89053e-07,0.592817,0.23807
7.726,0.3,0.23721,0.887413,-8.89101e-07,0.593367,0.236045
7.727,0.3,0.237803,0.887648,-8.89105e-07,0.593911,0.234015
7.728,0.3,0.238397,0.887881,-8.89062e-07,0.59445,0.23198
7.729,0.3,0.238992,0.888112,-8.88973e-07,0.594984,0.229939
7.73,0.3,0.239587,0.888341,-8.88839e-07,0.595512,0.227893
7.731,0.3,0.240183,0.888568,-8.88659e-07,0.596035,0.225842
7.732,0.3,0.240779,0.888792,-8.88433e-07,0.596553,0.223785
7.733,0.3,0.241376,0.889015,-8.88162e-07,0.597065,0.221723
7.734,0.3,0.241974,0.889236,-8.87844e-07,0.597573,0.219655
7.735,0.3,0.242571,0.889454,-8.87481e-07,0.598074,0.217583
7.736,0.3,0.24317,0.889671,-8.87072e-07,0.598571,0.215505
7.737,0.3,0.243769,0.889885,-8.86618e-07,0.599062,0.213421
7.738,0.3,0.244368,0.890098,-8.86117e-07,0.599548,0.211332
7.739,0.3,0.244968,0.890308,-8.85571e-07,0.600028,0.209238
7.74,0.3,0.245568,0.890516,-8.84979e-07,0.600503,0.207139
7.741,0.3,0.246169,0.890722,-8.84341e-07,0.600973,0.205034
7.742,0.3,0.24677,0.890926,-8.83658e-07,0.601437,0.202924
7.743,0.3,0.247372,0.891128,-8.82928e-07,0.601896,0.200809
7.744,0.3,0.247974,0.891328,-8.82153e-07,0.60235,0.198688
7.745,0.3,0.248576,0.891526,-8.81332e-07,0.602798,0.196562
7.746,0.3,0.249179,0.891721,-8.80465e-07,0.603242,0.19443
7.747,0.3,0.249783,0.891914,-8.79553e-07,0.603679,0.192294
7.748,0.3,0.250387,0.892106,-8.78595e-07,0.604112,0.190152
7.749,0.3,0.250991,0.892295,-8.77591e-07,0.604539,0.188004
7.75,0.3,0.251596,0.892482,-8.76541e-07,0.604961,0.185852
7.751,0.3,0.252201,0.892666,-8.75445e-07,0.605377,0.183693
7.752,0.3,0.252806,0.892849,-8.74304e-07,0.605788,0.18153
7.753,0.3,0.253412,0.893029,-8.73117e-07,0.606194,0.179361
7.754,0.3,0.254019,0.893208,-8.71884e-07,0.606594,0.177187
7.755,0.3,0.254626,0.893384,-8.70605e-07,0.606989,0.175008
7.756,0.3,0.255233,0.893558,-8.6928e-07,0.607379,0.172823
7.757,0.3,0.25584,0.893729,-8.6791e-07,0.607764,0.170633
7.758,0.3,0.256448,0.893899,-8.66494e-07,0.608143,0.168438
7.759,0.3,0.257057,0.894066,-8.65032e-07,0.608516,0.166237
7.76,0.3,0.257665,0.894232,-8.63525e-07,0.608885,0.164031
7.761,0.3,0.258274,0.894394,-8.61971e-07,0.609248,0.16182
7.762,0.3,0.258884,0.894555,-8.60372e-07,0.609606,0.159603
7.763,0.3,0.259494,0.894714,-8.58727e-07,0.609958,0.157381
7.764,0.3,0.260104,0.89487,-8.57036e-07,0.610305,0.155153
7.765,0.3,0.260714,0.895024,-8.553e-07,0.610647,0.152921
7.766,0.3,0.261325,0.895176,-8.53517e-07,0.610983,0.150683
7.767,0.3,0.261936,0.895325,-8.51689e-07,0.611315,0.148439
7.768,0.3,0.262548,0.895473,-8.49815e-07,0.61164,0.14619
7.769,0.3,0.26316,0.895618,-8.47896e-07,0.611961,0.143936
7.77,0.3,0.263772,0.89576,-8.4593e-07,0.612276,0.141677
7.771,0.3,0.264384,0.895901,-8.43919e-07,0.612586,0.139412
7.772,0.3,0.264997,0.896039,-8.41862e-07,0.61289,0.137142
7.773,0.3,0.26561,0.896175,-8.39759e-07,0.613189,0.134867
7.774,0.3,0.266223,0.896309,-8.37611e-07,0.613483,0.132586
7.775,0.3,0.266837,0.89644,-8.35416e-07,0.613771,0.1303
7.776,0.3,0.267451,0.89657,-8.33176e-07,0.614054,0.128009
7.777,0.3,0.268065,0.896697,-8.3089e-07,0.614332,0.125712
7.778,0.3,0.268679,0.896821,-8.28559e-07,0.614605,0.12341
7.779,0.3,0.269294,0.896943,-8.26181e-07,0.614872,0.121103
7.78,0.3,0.269909,0.897063,-8.23758e-07,0.615134,0.11879
7.781,0.3,0.270524,0.897181,-8.21289e-07,0.61539,0.116472
7.782,0.3,0.27114,0.897296,-8.18774e-07,0.615641,0.114148
7.783,0.3,0.271756,0.897409,-8.16214e-07,0.615887,0.11182
7.784,0.3,0.272372,0.89752,-8.13607e-07,0.616127,0.109486
7.785,0.3,0.272988,0.897628,-8.10955e-07,0.616362,0.107146
7.786,0.3,0.273604,0.897734,-8.08257e-07,0.616592,0.104801
7.787,0.3,0.274221,0.897838,-8.05514e-07,0.616817,0.102451
7.788,0.3,0.274838,0.897939,-8.02724e-07,0.617036,0.100096
7.789,0.3,0.275455,0.898038,-7.99889e-07,0.61725,0.0977353
7.79,0.3,0.276073,0.898135,-7.97008e-07,0.617458,0.0953693
7.791,0.3,0.27669,0.898229,-7.94081e-07,0.617661,0.0929979
7.792,0.3,0.277308,0.89832,-7.91109e-07,0.617859,0.0906212
7.793,0.3,0.277926,0.89841,-7.8809e-07,0.618051,0.0882392
7.794,0.3,0.278544,0.898497,-7.85026e-07,0.618238,0.0858518
7.795,0.3,0.279162,0.898582,-7.81916e-07,0.61842,0.0834591
7.796,0.3,0.279781,0.898664,-7.7876e-07,0.618597,0.081061
7.797,0.3,0.280399,0.898744,-7.75559e-07,0.618768,0.0786577
7.798,0.3,0.281018,0.898821,-7.72312e-07,0.618934,0.0762489
7.799,0.3,0.281637,0.898896,-7.69019e-07,0.619094,0.0738349
7.8,0.3,0.282256,0.898969,-7.6568e-07,0.619249,0.0714155
7.801,0.3,0.282876,0.899039,-7.62295e-07,0.619399,0.0689908
7.802,0.3,0.283495,0.899107,-7.58865e-07,0.619543,0.0665608
7.803,0.3,0.284115,0.899172,-7.55389e-07,0.619682,0.0641254
7.804,0.3,0.284735,0.899235,-7.51867e-07,0.619816,0.0616847
7.805,0.3,0.285355,0.899296,-7.48299e-07,0.619945,0.0592387
7.806,0.3,0.285975,0.899354,-7.44686e-07,0.620068,0.0567873
7.807,0.3,0.286595,0.899409,-7.41026e-07,0.620186,0.0543306
7.808,0.3,0.287215,0.899462,-7.37321e-07,0.620298,0.0518686
7.809,0.3,0.287835,0.899513,-7.3357e-07,0.620405,0.0494012
7.81,0.3,0.288456,0.899561,-7.29774e-07,0.620507,0.0469285
7.811,0.3,0.289076,0.899607,-7.25931e-07,0.620603,0.0444504
7.812,0.3,0.289697,0.89965,-7.22043e-07,0.620695,0.0419671
7.813,0.3,0.290318,0.899691,-7.18109e-07,0.62078,0.0394784
7.814,0.3,0.290938,0.899729,-7.14129e-07,0.620861,0.0369843
7.815,0.3,0.291559,0.899765,-7.10104e-07,0.620936,0.034485
7.816,0.3,0.29218,0.899798,-7.06033e-07,0.621006,0.0319803
7.817,0.3,0.292801,0.899829,-7.01916e-07,0.62107,0.0294702
7.818,0.3,0.293422,0.899857,-6.97753e-07,0.621129,0.0269549
7.819,0.3,0.294044,0.899882,-6.93544e-07,0.621183,0.0244342
7.82,0.3,0.294665,0.899906,-6.8929e-07,0.621231,0.0219081
7.821,0.3,0.295286,0.899926,-6.84989e-07,0.621275,0.0193768
7.822,0.3,0.295907,0.899944,-6.80643e-07,0.621312,0.0168401
7.823,0.3,0.296529,0.89996,-6.76252e-07,0.621345,0.014298
7.824,0.3,0.29715,0.899973,-6.71814e-07,0.621372,0.0117507
7.825,0.3,0.297771,0.899983,-6.67331e-07,0.621394,0.00919798
7.826,0.3,0.298393,0.899991,-6.62802e-07,0.62141,0.00663996
7.827,0.3,0.299014,0.899997,-6.58227e-07,0.621421,0.00407659
7.828,0.3,0.299636,0.9,-6.53606e-07,0.621427,0.0015079
7.829,0.3,0.300257,0.9,-6.48945e-07,0.621428,-0.00106522
7.83,0.3,0.300879,0.899997,-6.44286e-07,0.621423,-0.00363483
7.831,0.3,0.3015,0.899993,-6.39639e-07,0.621413,-0.00619911
7.832,0.3,0.302121,0.899985,-6.35004e-07,0.621397,-0.00875806
7.833,0.3,0.302743,0.899975,-6.30382e-07,0.621376,-0.0113117
7.834,0.3,0.303364,0.899962,-6.25771e-07,0.62135,-0.01386
7.835,0.3,0.303985,0.899947,-6.21174e-07,0.621318,-0.0164029
7.836,0.3,0.304607,0.89993,-6.16588e-07,0.621282,-0.0189405
7.837,0.3,0.305228,0.899909,-6.12015e-07,0.621239,-0.0214728
7.838,0.3,0.305849,0.899887,-6.07454e-07,0.621192,-0.0239998
7.839,0.3,0.30647,0.899861,-6.02905e-07,0.621139,-0.0265214
7.84,0.3,0.307092,0.899834,-5.98368e-07,0.621081,-0.0290377
7.841,0.3,0.307713,0.899803,-5.93844e-07,0.621017,-0.0315486
7.842,0.3,0.308334,0.899771,-5.89332e-07,0.620948,-0.0340542
7.843,0.3,0.308954,0.899735,-5.84832e-07,0.620874,-0.0365545
7.844,0.3,0.309575,0.899697,-5.80345e-07,0.620795,-0.0390495
7.845,0.3,0.310196,0.899657,-5.7587e-07,0.62071,-0.0415391
7.846,0.3,0.310817,0.899614,-5.71407e-07,0.62062,-0.0440234
7.847,0.3,0.311437,0.899569,-5.66956e-07,0.620524,-0.0465023
7.848,0.3,0.312058,0.899521,-5.62518e-07,0.620423,-0.048976
7.849,0.3,0.312678,0.899471,-5.58092e-07,0.620317,-0.0514443
7.85,0.3,0.313298,0.899418,-5.53678e-07,0.620205,-0.0539072
7.851,0.3,0.313919,0.899363,-5.49276e-07,0.620089,-0.0563648
7.852,0.3,0.314539,0.899306,-5.44887e-07,0.619966,-0.0588171
7.853,0.3,0.315158,0.899246,-5.4051e-07,0.619839,-0.0612641
7.854,0.3,0.315778,0.899183,-5.36145e-07,0.619706,-0.0637057
7.855,0.3,0.316398,0.899118,-5.31793e-07,0.619568,-0.066142
7.856,0.3,0.317017,0.899051,-5.27452e-07,0.619424,-0.068573
7.857,0.3,0.317637,0.898981,-5.23124e-07,0.619275,-0.0709986
7.858,0.3,0.318256,0.898909,-5.18809e-07,0.619121,-0.0734189
7.859,0.3,0.318875,0.898834,-5.14505e-07,0.618962,-0.0758338
7.86,0.3,0.319494,0.898757,-5.10214e-07,0.618797,-0.0782435
7.861,0.3,0.320113,0.898678,-5.05935e-07,0.618627,-0.0806478
7.862,0.3,0.320731,0.898596,-5.01668e-07,0.618451,-0.0830467
7.863,0.3,0.321349,0.898512,-4.97414e-07,0.61827,-0.0854404
7.864,0.3,0.321968,0.898425,-4.93172e-07,0.618084,-0.0878287
7.865,0.3,0.322586,0.898336,-4.88942e-07,0.617893,-0.0902116
7.866,0.3,0.323203,0.898245,-4.84725e-07,0.617696,-0.0925892
7.867,0.3,0.323821,0.898151,-4.80519e-07,0.617494,-0.0949615
7.868,0.3,0.324438,0.898055,-4.76326e-07,0.617286,-0.0973285
7.869,0.3,0.325056,0.897956,-4.72145e-07,0.617073,-0.0996901
7.87,0.3,0.325673,0.897855,-4.67977e-07,0.616855,-0.102046
7.871,0.3,0.326289,0.897752,-4.63821e-07,0.616632,-0.104397
7.872,0.3,0.326906,0.897647,-4.59677e-07,0.616403,-0.106743
7.873,0.3,0.327522,0.897539,-4.55545e-07,0.616168,-0.109083
7.874,0.3,0.328138,0.897428,-4.51425e-07,0.615929,-0.111418
7.875,0.3,0.328754,0.897316,-4.47318e-07,0.615684,-0.113748
7.876,0.3,0.32937,0.897201,-4.43223e-07,0.615434,-0.116072
7.877,0.3,0.329985,0.897084,-4.39141e-07,0.615178,-0.118391
7.878,0.3,0.3306,0.896964,-4.3507e-07,0.614918,-0.120705
7.879,0.3,0.331215,0.896842,-4.31012e-07,0.614651,-0.123013
7.88,0.3,0.331829,0.896718,-4.26966e-07,0.61438,-0.125316
7.881,0.3,0.332443,0.896592,-4.22933e-07,0.614103,-0.127614
7.882,0.3,0.333057,0.896463,-4.18911e-07,0.613821,-0.129906
7.883,0.3,0.333671,0.896332,-4.14902e-07,0.613533,-0.132193
7.884,0.3,0.334284,0.896198,-4.10905e-07,0.61324,-0.134475
7.885,0.3,0.334898,0.896063,-4.06921e-07,0.612942,-0.136751
7.886,0.3,0.33551,0.895925,-4.02949e-07,0.612639,-0.139022
7.887,0.3,0.336123,0.895785,-3.98989e-07,0.61233,-0.141288
7.888,0.3,0.336735,0.895642,-3.95041e-07,0.612016,-0.143548
7.889,0.3,0.337347,0.895498,-3.91106e-07,0.611696,-0.145803
7.89,0.3,0.337958,0.895351,-3.87182e-07,0.611371,-0.148053
7.891,0.3,0.33857,0.895202,-3.83271e-07,0.611041,-0.150297
7.892,0.3,0.33918,0.89505,-3.79373e-07,0.610706,-0.152536
7.893,0.3,0.339791,0.894897,-3.75486e-07,0.610365,-0.154769
7.894,0.3,0.340401,0.894741,-3.71612e-07,0.610019,-0.156998
7.895,0.3,0.341011,0.894583,-3.6775e-07,0.609667,-0.159221
7.896,0.3,0.341621,0.894422,-3.63901e-07,0.60931,-0.161438
7.897,0.3,0.34223,0.89426,-3.60063e-07,0.608948,-0.163651
7.898,0.3,0.342838,0.894095,-3.56238e-07,0.608581,-0.165858
